BIA: Un Mundo al Revés;Título original;Idioma original;Duración;Directores;Sinopsis;19/2/2021 (BR);Clasificación por edad;Imagen cartel;Puntuación
Jumanji: siguiente nivel;Título original;Idioma original;Duración;Directores;Sinopsis;13/12/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
Evangelion: 3.0+1.0;Título original;Idioma original;Duración;Directores;Sinopsis;8/3/2021 (JP);Clasificación por edad;Imagen cartel;Puntuación
Las brujas (de Roald Dahl);Título original;Idioma original;Duración;Directores;Sinopsis;30/10/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Código 8;Título original;Idioma original;Duración;Directores;Sinopsis;2/7/2020 (KR);Clasificación por edad;Imagen cartel;Puntuación
El camino de Xico;Título original;Idioma original;Duración;Directores;Sinopsis;12/11/2020 (MX);Clasificación por edad;Imagen cartel;Puntuación
El mundo por venir;Título original;Idioma original;Duración;Directores;Sinopsis;12/2/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Descuida, yo te cuido;Título original;Idioma original;Duración;Directores;Sinopsis;19/2/2021 (RU);Clasificación por edad;Imagen cartel;Puntuación
Venom;Título original;Idioma original;Duración;Directores;Sinopsis;5/10/2018 (ES);Clasificación por edad;Imagen cartel;Puntuación
Mulán;Título original;Idioma original;Duración;Directores;Sinopsis;4/9/2020 (TW);Clasificación por edad;Imagen cartel;Puntuación
Naruto Shippuden la Película;Título original;Idioma original;Duración;Directores;Sinopsis;4/8/2007 (JP);Clasificación por edad;Imagen cartel;Puntuación
Moxie;Título original;Idioma original;Duración;Directores;Sinopsis;3/3/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Barb and Star Go to Vista Del Mar;Título original;Idioma original;Duración;Directores;Sinopsis;31/3/2021 (ID);Clasificación por edad;Imagen cartel;Puntuación
Spider-Man: Lejos de casa;Título original;Idioma original;Duración;Directores;Sinopsis;5/7/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
Loco por ella;Título original;Idioma original;Duración;Directores;Sinopsis;26/2/2021 (ES);Clasificación por edad;Imagen cartel;Puntuación
My Hero Academia: el despertar de los héroes;Título original;Idioma original;Duración;Directores;Sinopsis;11/9/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Host;Título original;Idioma original;Duración;Directores;Sinopsis;18/12/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Underwater;Título original;Idioma original;Duración;Directores;Sinopsis;31/1/2020 (ES);Clasificación por edad;Imagen cartel;Puntuación
Terminator: destino oscuro;Título original;Idioma original;Duración;Directores;Sinopsis;31/10/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
Batman: Alma de Dragón;Título original;Idioma original;Duración;Directores;Sinopsis;12/1/2021 (US);Clasificación por edad;Imagen cartel;Puntuación
Chaco;Título original;Idioma original;Duración;Directores;Sinopsis;28/1/2020 (NL);Clasificación por edad;Imagen cartel;Puntuación
Noticias del gran mundo;Título original;Idioma original;Duración;Directores;Sinopsis;25/12/2020 (US);Clasificación por edad;Imagen cartel;Puntuación
6 en la sombra;Título original;Idioma original;Duración;Directores;Sinopsis;13/12/2019 (ES);Clasificación por edad;Imagen cartel;Puntuación
El príncipe de Zamunda;Título original;Idioma original;Duración;Directores;Sinopsis;16/9/1988 (ES);Clasificación por edad;Imagen cartel;Puntuación
